net,length_um
_103_,331.59
_101_,310.55
_119_,308.23
_112_,301.895
_107_,280.92
net8,280.7
_106_,271.92
_104_,271.725
_151_,263.4
_153_,249.47
_158_,244.455
_156_,242.54
_100_,240.495
net4,238.12
net10,220.54
net13,220.52
_166_,219.635
net3,216.2
net7,214.14
_118_,211.8
_023_,211.74
net19,208.42
net15,199.72
_062_,199.42
net6,196.38
_138_,195.84
net18,195.135
_105_,188.76
_019_,187.59
net9,185.47
net21,183.08
_137_,180.74
net27,177.05
net14,172.39
_015_,172.06
net2,169.29
net17,165.46
_026_,163.72
_169_,162.56
_139_,160.75
_162_,160.42
_140_,160.11
net1,160.1
_113_,159.37
_143_,158.34
_005_,157.56
_125_,156.88
_074_,155.66
_090_,155.47
_018_,151.53
net12,150.94
_133_,149.91
_036_,149.72
net5,145.9
net16,142.56
_048_,142.39
_002_,139.72
_146_,139.39
_003_,138.38
_038_,138.28
net20,136.37
_063_,136.34
_128_,135.94
_051_,134.9
_120_,130.57
_134_,130
_017_,127.48
_144_,126.78
_155_,126.04
_114_,125.7
_022_,123.79
_072_,123.69
_020_,122.94
_147_,122.11
_057_,121.58
net11,119.96
_165_,119.84
_108_,119.52
net28,118.72
_098_,118.1
_111_,117.5
_039_,117.36
_030_,116.87
_010_,115.54
_142_,114.94
_163_,112.7
_152_,112.22
_168_,111.93
_126_,111.86
_081_,111.5
_076_,110.97
_027_,110.72
_054_,110.72
_164_,110.3
_000_,110.14
_055_,109.8
_123_,109.74
_012_,108.48
_058_,107.37
_037_,107.03
_149_,106.56
_132_,106.24
_044_,103.63
_079_,103.26
_011_,103.22
_052_,103.22
_025_,101.4
_042_,100.62
_033_,99.95
_121_,99.21
_167_,95.38
_061_,94.58
_013_,92.67
_046_,92.66
_031_,92
_084_,91.56
_145_,91.28
_117_,90.76
_067_,90.56
_127_,87
_122_,86.68
net23,85.48
_082_,83.08
_110_,81.36
_059_,80.46
net22,80.32
net25,80.32
_032_,80.22
_049_,78.44
_053_,78.13
_041_,78.06
_124_,77.86
_009_,77.66
net31,76.58
_159_,76.22
_087_,75.94
_136_,74.82
_161_,74.8
_008_,74.78
_148_,74.66
_115_,73.62
_092_,73.58
_014_,73.38
_050_,73.16
_065_,72.82
_091_,72.46
_150_,71.72
_129_,69.88
_086_,67.7
_102_,67.2
_029_,66.28
_089_,66.28
_160_,66.24
_073_,65.65
_045_,64.28
_077_,63.42
_016_,63.26
_131_,61.92
_021_,59.84
_069_,59.02
_001_,58.22
_157_,57.82
_068_,57.48
_141_,57.48
_085_,55.26
_070_,54.44
_007_,54.22
_154_,53.86
_078_,52.555
_040_,52.12
_088_,52.03
_034_,51.42
_043_,51.42
_116_,49.32
_099_,48.62
_093_,48.5
_109_,48.4
_035_,47.26
_064_,45.4
_047_,44.8
_094_,41.94
_056_,40.7
_028_,39.58
_130_,34.64
_083_,33.94
_135_,32.7
_004_,29.825
_097_,29.14
net26,28.48
_006_,27.3
_096_,27.1
net30,22.96
_075_,22.74
_080_,20.8
_071_,19.16
_095_,15.38
_024_,14.26
net24,11.2
out[7],11.03
_060_,8.4
out[6],7.15
in2[3],6.77
in2[7],6.77
op[2],6.77
in1[3],6.31
in1[7],6.31
out[1],6.21
out[3],6.21
out[5],6.21
in1[1],6.09
in1[5],5.97
in2[1],5.97
in2[5],5.97
op[0],5.97
in2[2],5.41
op[1],5.41
net29,5.4
in2[0],5.07
in2[4],5.07
in1[2],4.95
in1[6],4.95
in2[6],4.95
out[0],4.85
out[2],4.85
out[4],4.85
in1[0],4.61
in1[4],4.61
_066_,3.64
